id,created_at,specialty,q1_profile,q2_main_pain,q2_other,q3_repetitive_tasks,q3_other,q4_1_ai_usage,q4_2_used_tools,q4_2_other,q5_assistant_help,q5_other,q6_main_barrier,q7_use_cases,q7_other,q8_1_open_answer,q8_2_open_answer
58412cfd-549f-4510-850d-7b1a911e16bf,2026-02-18T14:19:28.875366+00:00,otorrinolaringologia,Residente,Redaccion de informes clinicos,,Informes quirurgicos | Ninguna en especial,,"No, nunca",Uso IA para papers,,Organizar agenda y listas de pacientes | Resumir la historia clinica del paciente antes de entrar,,No se en que me podria ayudar,"Automatizaciones simples (plantillas, checklists, macros ligeras)",,kjh,kjh
90ec7b32-db61-45b7-8835-13443863000c,2026-02-18T14:36:25.510472+00:00,otorrinolaringologia,Residente,Investigación y artículos | Datos/estadística/tablas,,"Informes de pruebas (audiometrías, TAC, etc.) | Informes de consulta",,"Sí, de forma habitual",He probado ChatGPT/Claude,,Escribir el informe de la consulta mientras hablo | Ayudar con artículos o investigación,,No esta integrada en el sistema del hospital,Cómo hablar con IA (prompting) para resultados fiables | Resumir y estructurar texto clínico/científico (sin inventar),,Hola,Wapo
fe3869b4-62fe-4ad4-b6f7-7d3d149eead5,2026-02-19T20:49:30.924127+00:00,otorrinolaringologia,Residente,Investigación y artículos | Datos/estadística/tablas,,Búsqueda de información | Presentaciones o sesiones clínicas,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Sugerir diagnósticos | Ayudar con artículos o investigación,,"Nada, la usaría si estuviera disponible",Cómo hablar con IA (prompting) para resultados fiables | Crear presentaciones/sesiones en minutos,,Hacer revisiones bibliográficas,"Buscar evidencia científica rápida, concreta, en castellano y que de ella me pudiera hacer una presentación fácilmente"
8db2ee8f-6a56-43ea-84b3-38d1c39eea97,2026-02-19T20:54:33.730953+00:00,otorrinolaringologia,Especialista 1 (<5 años),Burocracia administrativa,,"Informes de pruebas (audiometrías, TAC, etc.)",,"Sí, de forma habitual",He probado ChatGPT/Claude,,Ayudar con artículos o investigación | Organizar agenda y listas de pacientes,,No está integrada en el sistema del hospital,"Automatizaciones simples (plantillas, checklists, macros ligeras) | Convertir ideas en documentos: protocolos, informes, emails, proyectos",,.,.
e8fe76e7-17a2-4798-b561-6af83b30523a,2026-02-19T20:54:36.743885+00:00,otorrinolaringologia,Jefe de servicio / coordinación,"Listas de espera y gestión de pacientes | Quirófano (gestión, informes, programación)",,Emails / coordinación / agendas | Informes quirúrgicos,,"Sí, de forma habitual","He probado ChatGPT/Claude | Uso herramientas tipo Copilot, Google AI Studio, generadores de imágenes o presentaciones | Uso IA para papers",,Preparar documentos para el paciente | Organizar agenda y listas de pacientes,,"Nada, la usaría si estuviera disponible","Análisis de tablas/datos (Excel/CSV) | Automatizaciones simples (plantillas, checklists, macros ligeras)",,Hacer la planilla de cada mes,La planilla
ed5eb2c9-de31-44c2-b4e5-d89016681bca,2026-02-19T20:57:52.687523+00:00,otorrinolaringologia,Especialista 2 (5-15 años),Investigación y artículos | Datos/estadística/tablas,,Revisión bibliográfica / síntesis de papers | Presentaciones o sesiones clínicas,,"Sí, de forma habitual",Uso IA para papers | He probado ChatGPT/Claude,,Ayudar con artículos o investigación,,Falta de tiempo para aprender,Cómo hablar con IA (prompting) para resultados fiables | Resumir y estructurar texto clínico/científico (sin inventar),,Mi tesis doctoral,Que la hiciera lA de forma fiable
a3542c52-4fd8-4000-9b8a-b6c963a76b5c,2026-02-19T21:09:32.404819+00:00,otorrinolaringologia,Especialista 3 (>15 años),Historia clínica y documentación | Revisión de pruebas e imágenes,,Informes de consulta | Respuestas a pacientes,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Escribir el informe de la consulta mientras hablo | Sugerir diagnósticos,,"Nada, la usaría si estuviera disponible",Cómo hablar con IA (prompting) para resultados fiables | Resumir y estructurar texto clínico/científico (sin inventar),,Guardias,Lo que me gusta y satisface
f4b13720-64e9-4226-a469-4612470d6d2f,2026-02-19T21:20:13.275906+00:00,otorrinolaringologia,Especialista 3 (>15 años),Investigación y artículos | Listas de espera y gestión de pacientes,,Informes de consulta | Consentimientos informados,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Preparar sesiones clínicas o presentaciones,,Falta de formación,"Cómo hablar con IA (prompting) para resultados fiables | Automatizaciones simples (plantillas, checklists, macros ligeras)",,Transcribir,Traducir en datos todo lo que veo
148bca7f-9cc8-4d94-83e2-ecf9fa968901,2026-02-19T21:21:52.744782+00:00,otorrinolaringologia,Especialista 3 (>15 años),Burocracia administrativa | Historia clínica y documentación,,Informes para primaria | Informes de consulta,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Resumir la historia clínica del paciente antes de entrar | Preparar documentos para el paciente,,Falta de formación,"Convertir ideas en documentos: protocolos, informes, emails, proyectos | Automatizaciones simples (plantillas, checklists, macros ligeras)",,Burocracia,Informes detallados y precisos
131678fa-8697-4f4d-a13a-34f39a45d4df,2026-02-19T21:43:14.239474+00:00,otorrinolaringologia,Especialista 3 (>15 años),Burocracia administrativa | Datos/estadística/tablas,,Informes quirúrgicos | Emails / coordinación / agendas,,"Sí, alguna vez",He probado ChatGPT/Claude,,Escribir el informe de la consulta mientras hablo | Sugerir diagnósticos,,Dudas sobre privacidad de datos,Cómo hablar con IA (prompting) para resultados fiables | Análisis de tablas/datos (Excel/CSV),,Burocracia,búsqueda bibliográfica
a4a8504d-6fa4-4f1d-9bbd-af5a3ba9e67d,2026-02-19T21:45:47.168824+00:00,otorrinolaringologia,Residente,Burocracia administrativa | Datos/estadística/tablas,,Informes quirúrgicos | Búsqueda de información,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Escribir el informe de la consulta mientras hablo | Preparar sesiones clínicas o presentaciones,,Falta de formación,Análisis de tablas/datos (Excel/CSV) | Búsqueda con fuentes y citación (evidencia/guías),,Escribir los informes manualmente,Tener fuentes fiables de información
47f8b615-2573-429b-8f81-0c06f0d7d810,2026-02-19T21:54:29.063195+00:00,otorrinolaringologia,Especialista 3 (>15 años),Historia clínica y documentación,,Informes de consulta | Presentaciones o sesiones clínicas,,"Sí, de forma habitual",He probado ChatGPT/Claude,,Sugerir diagnósticos | Escribir el informe de la consulta mientras hablo,,No está integrada en el sistema del hospital,"Convertir ideas en documentos: protocolos, informes, emails, proyectos | Cómo hablar con IA (prompting) para resultados fiables",,Rellenar anamnesis y hojas de datos,Sugerencias acertadas de diagnóstico
81e9ae70-1a1d-4b02-88ec-b4a27908888d,2026-02-19T21:55:14.727569+00:00,otorrinolaringologia,Residente,Investigación y artículos | Datos/estadística/tablas,,Informes de consulta | Revisión bibliográfica / síntesis de papers,,"Sí, de forma habitual","Uso herramientas tipo Copilot, Google AI Studio, generadores de imágenes o presentaciones | Uso IA para papers | He probado ChatGPT/Claude | Otro",Julius,Escribir el informe de la consulta mientras hablo | Resumir la historia clínica del paciente antes de entrar,,"Nada, la usaría si estuviera disponible",Análisis de tablas/datos (Excel/CSV) | Cómo hablar con IA (prompting) para resultados fiables,,Rellenar bases de datos,Que se creen las bases de datos en base a la historia clínica del paciente
56362827-1cfe-45fb-a1cc-17a1f04126e5,2026-02-19T22:25:54.854753+00:00,otorrinolaringologia,Residente,Investigación y artículos | Datos/estadística/tablas,,Codificación / estadística / scripts | Revisión bibliográfica / síntesis de papers,,"Sí, de forma habitual",He probado ChatGPT/Claude | Uso IA para papers,,Ayudar con artículos o investigación,,Falta de formación,Análisis de tablas/datos (Excel/CSV) | Búsqueda con fuentes y citación (evidencia/guías),,Crear bases de datos y realizar las estadisticas,Resultados estadísticos
3f41b67a-182c-4f8f-9c92-c2956118132e,2026-02-20T06:54:01.464665+00:00,otorrinolaringologia,Especialista 3 (>15 años),Historia clínica y documentación | Listas de espera y gestión de pacientes,,Revisión bibliográfica / síntesis de papers | Codificación / estadística / scripts,,"Sí, de forma habitual","Uso herramientas tipo Copilot, Google AI Studio, generadores de imágenes o presentaciones | He probado ChatGPT/Claude",,Resumir la historia clínica del paciente antes de entrar | Preparar documentos para el paciente,,No está integrada en el sistema del hospital,Cómo hablar con IA (prompting) para resultados fiables | Análisis de tablas/datos (Excel/CSV),,Redactar informes,Resumen estructurado de la historia del paciente